geneID,geneName,X1..1,X1..2,X1..3,X2..1,X2..2,X2..3,X3..1,X3..2,X3..3,X4..1,X4..2,X4..3
ENSMUSG00000087170,1700001G01Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085984,1700001G11Rik,0,1,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103746,1700001G17Rik,0,2,0,0,0,2,0,0,0,0,0,0
ENSMUSG00000095040,1700001J03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086135,1700001J04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101963,1700001J11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000056508,1700001K19Rik,0,1,2,1,0,0,0,0,0,0,0,0
ENSMUSG00000118314,1700001K23Rik,0,2,0,2,0,2,1,4,2,0,0,1
ENSMUSG00000075511,1700001L05Rik,70,70,56,70,73,86,104,87,82,64,78,49
ENSMUSG00000021534,1700001L19Rik,0,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106210,1700001N15Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000044320,1700001O22Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000018543,1700001P01Rik,0,0,0,0,1,0,0,0,2,0,0,5
ENSMUSG00000099391,1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085944,1700003D09Rik,0,0,0,1,0,0,0,0,0,0,0,0
ENSMUSG00000030030,1700003E16Rik,0,0,0,2,0,0,0,0,0,0,0,0
ENSMUSG00000095110,1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000038523,1700003F12Rik,0,2,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000087621,1700003G18Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000039174,1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000107526,1700003I16Rik,2,0,1,3,0,0,5,1,1,0,5,0
ENSMUSG00000100372,1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101565,1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085389,1700003M07Rik,0,0,0,0,0,3,0,0,0,0,0,0
ENSMUSG00000102463,1700003N22Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000118311,1700003O11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100727,1700003P14Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000027973,1700006A11Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000100274,1700006F04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102000,1700006H21Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000034764,1700006J14Rik,15,22,16,12,9,20,21,24,19,13,13,15
ENSMUSG00000102738,1700006P03Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000101234,1700007E05Rik,0,0,0,1,1,0,0,2,0,4,2,0
ENSMUSG00000100666,1700007F19Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000116556,1700007H22Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000086330,1700007J10Rik,6,0,0,3,2,0,3,6,2,8,1,0
ENSMUSG00000026831,1700007K13Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000097318,1700007L15Rik,0,1,2,0,0,3,4,1,0,1,1,2
ENSMUSG00000086613,1700007M16Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089730,1700007P06Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103452,1700008A23Rik,3,0,0,0,0,0,0,0,0,1,0,0
ENSMUSG00000104872,1700008B11Rik,24,26,31,14,22,21,9,25,15,27,12,4
ENSMUSG00000111986,1700008C04Rik,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000106860,1700008H02Rik,0,0,0,0,0,0,0,0,0,0,0,0
